,R,L,cost
0,0.08,0.2,171936.8012771034
1,0.08,0.22,172423.5745283054
2,0.08,0.24,173001.129475588
3,0.08,0.26,173659.51413584215
4,0.08,0.28,174397.21797969576
5,0.08,0.3,175208.85086093243
6,0.08,0.32,176088.3524541738
7,0.08,0.34,177030.9428439606
8,0.08,0.37,178576.50205937115
9,0.08,0.39,179701.11022184038
10,0.08,0.41,180878.2891880806
11,0.08,0.43,182094.5319248185
12,0.08,0.45,183666.57413036094
13,0.08,0.47,186275.97080860115
14,0.08,0.49,190025.52351897597
15,0.08,0.51,194895.7579227679
16,0.08,0.53,200665.76036586548
17,0.08,0.55,206702.3175422286
18,0.08,0.57,212721.60044445185
19,0.08,0.59,218959.90926102738
20,0.08,0.61,226051.40703836072
21,0.08,0.63,234646.82423389345
22,0.08,0.66,250750.81468931775
23,0.08,0.68,263645.4940552381
24,0.08,0.7,277646.73142162996
25,0.08,0.72,291892.4071608106
26,0.08,0.74,305365.43317565846
27,0.08,0.76,316257.8977818504
28,0.08,0.78,323597.19845932705
29,0.08,0.8,327489.5609299251
30,0.09,0.2,172052.674272451
31,0.09,0.22,172480.31348509894
32,0.09,0.24,172979.11626585055
33,0.09,0.26,173567.0620993431
34,0.09,0.28,174232.85533240405
35,0.09,0.3,174975.55731596798
36,0.09,0.32,175789.12157485393
37,0.09,0.34,176667.6774793822
38,0.09,0.37,178108.7161416252
39,0.09,0.39,179153.04665380373
40,0.09,0.41,180250.98767323376
41,0.09,0.43,181395.92566721648
42,0.09,0.45,182612.2195169545
43,0.09,0.47,184304.84690056051
44,0.09,0.49,187020.26256010693
45,0.09,0.51,190668.58804056607
46,0.09,0.53,195286.42097246822
47,0.09,0.55,200454.30259428752
48,0.09,0.57,205851.64499812835
49,0.09,0.59,211613.4927371836
50,0.09,0.61,218166.26657500662
51,0.09,0.63,225877.39646776346
52,0.09,0.66,239969.9588118154
53,0.09,0.68,251074.9494988139
54,0.09,0.7,263002.36667097977
55,0.09,0.72,275219.27915022656
56,0.09,0.74,286865.9063654672
57,0.09,0.76,296610.42066310445
58,0.09,0.78,303889.13288925646
59,0.09,0.8,308774.19359526836
60,0.1,0.2,172241.18972985298
61,0.1,0.22,172580.43566323284
62,0.1,0.24,173022.99154795983
63,0.1,0.26,173533.3628673903
64,0.1,0.28,174130.8393725997
65,0.1,0.3,174803.7628912639
66,0.1,0.32,175550.52441020444
67,0.1,0.34,176365.55797527946
68,0.1,0.37,177709.5900509486
69,0.1,0.39,178683.4976699095
70,0.1,0.41,179711.0431271823
71,0.1,0.43,180789.08281199075
72,0.1,0.45,181929.78811039164
73,0.1,0.47,183184.42237905416
74,0.1,0.49,184975.90428941598
75,0.1,0.51,187704.57161523038
76,0.1,0.53,191162.35936615543
77,0.1,0.55,195420.01809202103
78,0.1,0.57,200158.61247276032
79,0.1,0.59,205379.7071115703
80,0.1,0.61,211346.30841096878
81,0.1,0.63,218247.64385136624
82,0.1,0.66,230672.01204944748
83,0.1,0.68,240308.59716787844
84,0.1,0.7,250597.07164786351
85,0.1,0.72,261112.8272937769
86,0.1,0.74,271301.5069034941
87,0.1,0.76,280134.84366980294
88,0.1,0.78,287268.9539211312
89,0.1,0.8,292760.63537036197
90,0.1,0.2,172241.18972985298
91,0.1,0.22,172580.43566323284
92,0.1,0.24,173022.99154795983
93,0.1,0.26,173533.3628673903
94,0.1,0.28,174130.8393725997
95,0.1,0.3,174803.7628912639
96,0.1,0.32,175550.52441020444
97,0.1,0.34,176365.55797527946
98,0.1,0.37,177709.5900509486
99,0.1,0.39,178683.4976699095
100,0.1,0.41,179711.0431271823
101,0.1,0.43,180789.08281199075
102,0.1,0.45,181929.78811039164
103,0.1,0.47,183184.42237905416
104,0.1,0.49,184975.90428941598
105,0.1,0.51,187704.57161523038
106,0.1,0.53,191162.35936615543
107,0.1,0.55,195420.01809202103
108,0.1,0.57,200158.61247276032
109,0.1,0.59,205379.7071115703
110,0.1,0.61,211346.30841096878
111,0.1,0.63,218247.64385136624
112,0.1,0.66,230672.01204944748
113,0.1,0.68,240308.59716787844
114,0.1,0.7,250597.07164786351
115,0.1,0.72,261112.8272937769
116,0.1,0.74,271301.5069034941
117,0.1,0.76,280134.84366980294
118,0.1,0.78,287268.9539211312
119,0.1,0.8,292760.63537036197
120,0.11,0.2,172456.93708161893
121,0.11,0.22,172750.0984240867
122,0.11,0.24,173108.93333872885
123,0.11,0.26,173564.56647768978
124,0.11,0.28,174086.30530453197
125,0.11,0.3,174692.4109312119
126,0.11,0.32,175371.86448957256
127,0.11,0.34,176122.34171935063
128,0.11,0.37,177372.63503869038
129,0.11,0.39,178282.72554815796
130,0.11,0.41,179246.2683282711
131,0.11,0.43,180261.28214777415
132,0.11,0.45,181335.96758606657
133,0.11,0.47,182490.71791004378
134,0.11,0.49,183782.0731847648
135,0.11,0.51,185602.63008973186
136,0.11,0.53,188275.9953406384
137,0.11,0.55,191498.98456861582
138,0.11,0.57,195505.94893231164
139,0.11,0.59,200134.52534460006
140,0.11,0.61,205486.56061723654
141,0.11,0.63,211667.55457082274
142,0.11,0.66,222666.8769656883
143,0.11,0.68,231069.968169173
144,0.11,0.7,240044.04556538345
145,0.11,0.72,249169.81755294054
146,0.11,0.74,258129.20092110263
147,0.11,0.76,266192.8532758022
148,0.11,0.78,273103.91292520403
149,0.11,0.8,278922.9222804105
150,0.12,0.2,172693.85680712425
151,0.12,0.22,172955.76335085477
152,0.12,0.24,173258.58137611343
153,0.12,0.26,173637.81598008066
154,0.12,0.28,174105.07153136333
155,0.12,0.3,174637.90546435726
156,0.12,0.32,175251.69969571795
157,0.12,0.34,175937.325163844
158,0.12,0.37,177093.95468304396
159,0.12,0.39,177943.406410046
160,0.12,0.41,178847.52744436983
161,0.12,0.43,179803.1965901089
162,0.12,0.45,180815.74889918845
163,0.12,0.47,181897.9459110919
164,0.12,0.49,183059.34186869726
165,0.12,0.51,184357.1823456832
166,0.12,0.53,186175.9882833584
167,0.12,0.55,188725.39212037608
168,0.12,0.57,191817.2932158311
169,0.12,0.59,195785.37306973047
170,0.12,0.61,200515.0595711736
171,0.12,0.63,206015.14122600158
172,0.12,0.66,215754.70054889377
173,0.12,0.68,223149.86618265373
174,0.12,0.7,231020.37718660047
175,0.12,0.72,239086.92037592456
176,0.12,0.74,246948.9235658864
177,0.12,0.76,254320.26814730925
178,0.12,0.78,260936.36364945277
179,0.12,0.8,266877.1010844342
180,0.13,0.2,172956.99420106946
181,0.13,0.22,173181.45703008331
182,0.13,0.24,173455.1599070543
183,0.13,0.26,173766.56589976719
184,0.13,0.28,174166.696720985
185,0.13,0.3,174644.37171568145
186,0.13,0.32,175187.9867812129
187,0.13,0.34,175808.79969819164
188,0.13,0.37,176871.80250084426
189,0.13,0.39,177661.2663317637
190,0.13,0.41,178508.2145672847
191,0.13,0.43,179407.69057471715
192,0.13,0.45,180361.7459087294
193,0.13,0.47,181378.06784853595
194,0.13,0.49,182462.2111708639
195,0.13,0.51,183604.19248367214
196,0.13,0.53,184889.66456881096
197,0.13,0.55,186691.28550564166
198,0.13,0.57,189156.60727966257
199,0.13,0.59,192281.30569190715
200,0.13,0.61,196362.35246866615
201,0.13,0.63,201198.27826217815
202,0.13,0.66,209803.64241516372
203,0.13,0.68,216337.14414249852
204,0.13,0.7,223301.64162240337
205,0.13,0.72,230481.39346363622
206,0.13,0.74,237508.0528352873
207,0.13,0.76,244158.42089480994
208,0.13,0.78,250428.53447327018
209,0.13,0.8,256336.69627175265
210,0.14,0.2,173255.1288670292
211,0.14,0.22,173431.36579698566
212,0.14,0.24,173670.72592082282
213,0.14,0.26,173954.76853615907
214,0.14,0.28,174276.72816159402
215,0.14,0.3,174695.39984435003
216,0.14,0.32,175182.3607593989
217,0.14,0.34,175736.70107543017
218,0.14,0.37,176705.2346197248
219,0.14,0.39,177434.41262920044
220,0.14,0.41,178224.18638309545
221,0.14,0.43,179069.2213368078
222,0.14,0.45,179967.84418948513
223,0.14,0.47,180923.8275918114
224,0.14,0.49,181939.82434797802
225,0.14,0.51,183008.65083291024
226,0.14,0.53,184117.29088932526
227,0.14,0.55,185397.12298723377
228,0.14,0.57,187207.1069694282
229,0.14,0.59,189697.73871760457
230,0.14,0.61,192976.03762926217
231,0.14,0.63,197146.53555327494
232,0.14,0.66,204706.54925877656
233,0.14,0.68,210480.24395379543
234,0.14,0.7,216664.10329697377
235,0.14,0.72,223087.1091869413
236,0.14,0.74,229438.24838207918
237,0.14,0.76,235470.8599498112
238,0.14,0.78,241329.31435391758
239,0.14,0.8,247084.33852498262
240,0.15,0.2,173616.30982067916
241,0.15,0.22,173712.21035759547
242,0.15,0.24,173908.9891063511
243,0.15,0.26,174161.19713372577
244,0.15,0.28,174454.3950375201
245,0.15,0.3,174790.73311624504
246,0.15,0.32,175223.7337669734
247,0.15,0.34,175719.2048730952
248,0.15,0.37,176593.57863118875
249,0.15,0.39,177261.85003573739
250,0.15,0.41,177993.72863666047
251,0.15,0.43,178783.97797487327
252,0.15,0.45,179629.2564325494
253,0.15,0.47,180529.06785926645
254,0.15,0.49,181483.96848497094
255,0.15,0.51,182488.1974650494
256,0.15,0.53,183533.0109985821
257,0.15,0.55,184613.45739318113
258,0.15,0.57,185912.24473273868
259,0.15,0.59,187828.90854923625
260,0.15,0.61,190392.82642786735
261,0.15,0.63,193812.67335489442
262,0.15,0.66,200376.79140118853
263,0.15,0.68,205465.33059539643
264,0.15,0.7,210959.91899836194
265,0.15,0.72,216716.18740927972
266,0.15,0.74,222473.2676679266
267,0.15,0.76,228056.0979161536
268,0.15,0.78,233454.3836557749
269,0.15,0.8,238955.53738455262
270,0.15,0.2,173616.30982067916
271,0.15,0.22,173712.21035759547
272,0.15,0.24,173908.9891063511
273,0.15,0.26,174161.19713372577
274,0.15,0.28,174454.3950375201
275,0.15,0.3,174790.73311624504
276,0.15,0.32,175223.7337669734
277,0.15,0.34,175719.2048730952
278,0.15,0.37,176593.57863118875
279,0.15,0.39,177261.85003573739
280,0.15,0.41,177993.72863666047
281,0.15,0.43,178783.97797487327
282,0.15,0.45,179629.2564325494
283,0.15,0.47,180529.06785926645
284,0.15,0.49,181483.96848497094
285,0.15,0.51,182488.1974650494
286,0.15,0.53,183533.0109985821
287,0.15,0.55,184613.45739318113
288,0.15,0.57,185912.24473273868
289,0.15,0.59,187828.90854923625
290,0.15,0.61,190392.82642786735
291,0.15,0.63,193812.67335489442
292,0.15,0.66,200376.79140118853
293,0.15,0.68,205465.33059539643
294,0.15,0.7,210959.91899836194
295,0.15,0.72,216716.18740927972
296,0.15,0.74,222473.2676679266
297,0.15,0.76,228056.0979161536
298,0.15,0.78,233454.3836557749
299,0.15,0.8,238955.53738455262
300,0.16,0.2,174033.11860169118
301,0.16,0.22,174038.37813502495
302,0.16,0.24,174175.27966444314
303,0.16,0.26,174388.97375183317
304,0.16,0.28,174652.44640396207
305,0.16,0.3,174953.91484528486
306,0.16,0.32,175306.32211368368
307,0.16,0.34,175751.6658639386
308,0.16,0.37,176532.83682523703
309,0.16,0.39,177142.4270799705
310,0.16,0.41,177815.91927830782
311,0.16,0.43,178550.5279955293
312,0.16,0.45,179342.55316588923
313,0.16,0.47,180189.04384070702
314,0.16,0.49,181087.85555302908
315,0.16,0.51,182034.05979666725
316,0.16,0.53,183021.35512631384
317,0.16,0.55,184045.53587921322
318,0.16,0.57,185127.90950941798
319,0.16,0.59,186523.89010459348
320,0.16,0.61,188561.21959206843
321,0.16,0.63,191200.64535185118
322,0.16,0.66,196747.4967218519
323,0.16,0.68,201200.81922564225
324,0.16,0.7,206072.83658671813
325,0.16,0.72,211230.7312313216
326,0.16,0.74,216455.00976315947
327,0.16,0.76,221618.04159673353
328,0.16,0.78,226696.68065370806
329,0.16,0.8,231825.85107337378
330,0.17,0.2,174449.9360245475
331,0.17,0.22,174444.29946798607
332,0.17,0.24,174479.5606240707
333,0.17,0.26,174642.6608691013
334,0.17,0.28,174870.81156027725
335,0.17,0.3,175144.24098675567
336,0.17,0.32,175453.18236741755
337,0.17,0.34,175822.95944780175
338,0.17,0.37,176528.26801028076
339,0.17,0.39,177073.9938573183
340,0.17,0.41,177689.42982477284
341,0.17,0.43,178368.0801734049
342,0.17,0.45,179105.99746364125
343,0.17,0.47,179900.15871104973
344,0.17,0.49,180746.3032645425
345,0.17,0.51,181639.0668820539
346,0.17,0.53,182573.48698146825
347,0.17,0.55,183546.56592081228
348,0.17,0.57,184589.15260498432
349,0.17,0.59,185727.3544637442
350,0.17,0.61,187215.11952590413
351,0.17,0.63,189366.69945926257
352,0.17,0.66,193776.4057270521
353,0.17,0.68,197615.1771621979
354,0.17,0.7,201909.24891409746
355,0.17,0.72,206519.47719893826
356,0.17,0.74,211256.74095241175
357,0.17,0.76,216021.64918608445
358,0.17,0.78,220798.0431972087
359,0.17,0.8,225637.43378788975
360,0.18,0.2,174866.76199621893
361,0.18,0.22,174861.12446670837
362,0.18,0.24,174855.48762118295
363,0.18,0.26,174929.78685008796
364,0.18,0.28,175113.34089268348
365,0.18,0.3,175354.02711820212
366,0.18,0.32,175636.39942362194
367,0.18,0.34,175952.20175226958
368,0.18,0.37,176565.9647954062
369,0.18,0.39,177058.6474148203
370,0.18,0.41,177614.09135062274
371,0.18,0.43,178235.34457868984
372,0.18,0.45,178918.8890549728
373,0.18,0.47,179660.3156649575
374,0.18,0.49,180455.41951927703
375,0.18,0.51,181297.86275975552
376,0.18,0.53,182182.6539681877
377,0.18,0.55,183113.27683321477
378,0.18,0.57,184121.922848987
379,0.18,0.59,185199.2502798721
380,0.18,0.61,186391.07425677267
381,0.18,0.63,187988.34597229288
382,0.18,0.66,191484.33992770847
383,0.18,0.68,194660.28299095677
384,0.18,0.7,198396.01172020612
385,0.18,0.72,202492.88859736826
386,0.18,0.74,206775.13389527833
387,0.18,0.76,211158.72720879212
388,0.18,0.78,215627.26406377708
389,0.18,0.8,220214.16616008393
390,0.19,0.2,175283.59642288697
391,0.19,0.22,175277.9579457429
392,0.19,0.24,175272.32014698038
393,0.19,0.26,175268.67298811112
394,0.19,0.28,175386.0968200197
395,0.19,0.3,175586.56521744488
396,0.19,0.32,175838.3059650838
397,0.19,0.34,176128.8183956298
398,0.19,0.37,176643.43864451756
399,0.19,0.39,177088.4423203734
400,0.19,0.41,177588.10644131296
401,0.19,0.43,178153.27185943033
402,0.19,0.45,178780.7388326013
403,0.19,0.47,179468.90411909626
404,0.19,0.49,180212.70715733815
405,0.19,0.51,181006.49716867603
406,0.19,0.53,181843.97477874762
407,0.19,0.55,182740.59945683295
408,0.19,0.57,183713.37441625458
409,0.19,0.59,184750.81096198928
410,0.19,0.61,185857.40290828585
411,0.19,0.63,187111.18214996211
412,0.19,0.66,189872.10390622044
413,0.19,0.68,192328.82545619577
414,0.19,0.7,195481.74915105768
415,0.19,0.72,199080.61287486675
416,0.19,0.74,202928.18445250313
417,0.19,0.76,206941.34618429956
418,0.19,0.78,211097.78390679823
419,0.19,0.8,215415.61307449744
420,0.2,0.2,175700.4392098929
421,0.2,0.22,175694.79981099308
422,0.2,0.24,175689.16108580455
423,0.2,0.26,175683.52302766018
424,0.2,0.28,175700.9575399413
425,0.2,0.3,175846.88643011393
426,0.2,0.32,176061.80108314005
427,0.2,0.34,176323.46062796775
428,0.2,0.37,176781.89073038686
429,0.2,0.39,177155.76819570662
430,0.2,0.41,177610.68251656677
431,0.2,0.43,178117.02694190174
432,0.2,0.45,178691.81307230092
433,0.2,0.47,179325.27377850973
434,0.2,0.49,180017.3721812422
435,0.2,0.51,180762.11173813033
436,0.2,0.53,181553.66503901468
437,0.2,0.55,182421.64903378388
438,0.2,0.57,183358.5217248128
439,0.2,0.59,184357.01054613452
440,0.2,0.61,185419.2993419784
441,0.2,0.63,186550.60798399666
442,0.2,0.66,188661.2034349169
443,0.2,0.68,190686.78498375765
444,0.2,0.7,193146.0338712533
445,0.2,0.72,196231.19111525966
446,0.2,0.74,199650.80365316305
447,0.2,0.76,203298.45103013283
448,0.2,0.78,207139.05971442675
449,0.2,0.8,211176.5820466166
450,0.2,0.2,175700.4392098929
